x,,,,,,,,,,,11845,15651
sè:1001,"Th?nh phÇn dinh d?ìng(Nutrients)","?V(Unit)","H?m l??ng(Value)","TLTK(Source)",Unnamed: 0,"Th?nh phÇn dinh d?ìng(Nutrients).1","?V(Unit).1","H?m l??ng(Value).1","TLTK(Source).1",,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,0,3,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,1.25,3,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,0,3,,,,
16,Calci (Calcium),mg,30,1,Palmitoleic (C16:1),g,0,3,,,,
17,S?t (Iron),mg,2.3,1,Oleic (C18:1),g,1.25,3,,,,
18,Magiê (Magnesium),mg,127,3,TS acid béo không no nhi?u n?i ?ôi,g,2.16,3,,,,
19,Mangan (Manganese),mg,0.49,3,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,190,1,Linoleic (C18:2 n6),g,2.1,3,,,,
21,Kali (Potassium),mg,287,3,Linolenic (C18:2 n3),g,0.07,3,,,,
22,Natri (Sodium),mg,35,3,Arachidonic (C20:4),g,0,3,,,,
23,K?m  (Zinc),mg,2.21,3,Eicosapentaenoic  (C20:5 n3),g,0,3,,,,
24,??ng (Copper),?g,314,3,Docosahexaenoic (C22:6 n3),g,0,3,,,,
25,Selen (Selenium),?g,15.5,3,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,3,,,,
27,Vitamin B1 (Thiamine),mg,0.28,1,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,0.11,1,Lysin,mg,242,3,,,,
29,Vitamin PP (Niacin),mg,2,1,Methionin,mg,180,3,,,,
30,Vitamin B5 (Pantothenic acid),mg,0.424,3,Tryptophan,mg,61,3,,,,
31,Vitamin B6 (Pyridoxine),mg,0.622,3,Phenylalanin,mg,423,3,,,,
32,Folat (Folate),?g,19,3,Threonin,mg,323,3,,,,
33,Vitamin B9 (Folic acid),?g,0,3,Valin,mg,435,3,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,1054,3,,,,
35,Vitamin B12 (Cyanocobalamine),?g,0,3,Isoleucin,mg,308,3,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,429,3,,,,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,262,3,,,,
38,Vitamin E (Alpha-tocopherol ),mg,0.49,3,Cystin,mg,155,3,,,,
39,Vitamin K (Phylloquinone),?g,0.3,3,Tyrosin,mg,350,3,,,,
40,Beta-caroten,?g,97,3,Alanin,mg,644,3,,,,
41,Alpha-caroten,?g,63,3,Acid aspartic,mg,598,3,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1614,3,,,,
43,Lycopen,?g,0,3,Glycin,mg,352,3,,,,
44,Lutein + Zeaxanthin,?g,1355,3,Prolin,mg,750,3,,,,
45,Purin,mg,-,,Serin,mg,408,3,,,,
sè:1009,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,44,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,219,,Daidzein,mg,-,,,,,
3,,KJ,916,,Genistein,mg,-,,,,,
4,Protein,g,6.1,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,0.5,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,47.5,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0.5,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,1.4,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,19,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,1.5,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,88,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,-,,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,0.1,1,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,0.04,1,Lysin,mg,-,,,,,
29,Vitamin PP (Niacin),mg,1,1,Methionin,mg,-,,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,,,,,
32,Folat (Folate),?g,-,,Threonin,mg,-,,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,,,,,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,-,,,,,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,-,,,,,
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,-,,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,-,,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,,,,,
43,Lycopen,?g,0,3,Glycin,mg,-,,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,,,,,
45,Purin,mg,-,,Serin,mg,-,,,,,
sè:1010,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,15,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,333,,Daidzein,mg,-,,,,,
3,,KJ,1394,,Genistein,mg,-,,,,,
4,Protein,g,4,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,0.2,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,78.9,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0.5,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,1.4,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,20,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,0.3,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,65,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,-,,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,-,,Lysin,mg,-,,,,,
29,Vitamin PP (Niacin),mg,-,,Methionin,mg,-,,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,,,,,
32,Folat (Folate),?g,-,,Threonin,mg,-,,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,,,,,
37,Vitamin D (Calciferol ),?g,0,1,Histidin,mg,-,,,,,
38,Vitamin E (Alpha-tocopherol ),mg,0,1,Cystin,mg,-,,,,,
39,Vitamin K (Phylloquinone),?g,0,1,Tyrosin,mg,-,,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,-,,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,,,,,
43,Lycopen,?g,0,3,Glycin,mg,-,,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,,,,,
45,Purin,mg,0,4,Serin,mg,-,,,,,
sè:1011,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,86.8,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,52,,Daidzein,mg,-,,,,,
3,,KJ,215,,Genistein,mg,-,,,,,
4,Protein,g,0.9,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,0.3,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,11.3,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0.1,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,0.6,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,50,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,0.4,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,19,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,-,,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,-,,Lysin,mg,-,,,,,
29,Vitamin PP (Niacin),mg,-,,Methionin,mg,-,,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,,,,,
32,Folat (Folate),?g,-,,Threonin,mg,-,,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,,,,,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,-,,,,,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,-,,,,,
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,-,,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,-,,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,,,,,
43,Lycopen,?g,0,3,Glycin,mg,-,,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,,,,,
45,Purin,mg,-,,Serin,mg,-,,,,,
sè:1012,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,37.2,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,249,,Daidzein,mg,-,,,,,
3,,KJ,1043,,Genistein,mg,-,,,,,
4,Protein,g,7.9,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,0.8,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,52.6,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0.2,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,1.3,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,28,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,2,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,164,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,0.1,1,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,0.07,1,Lysin,mg,163,1,,,,
29,Vitamin PP (Niacin),mg,0.7,1,Methionin,mg,133,1,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,66,1,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,314,1,,,,
32,Folat (Folate),?g,-,,Threonin,mg,216,1,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,366,1,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,460,1,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,294,1,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,294,1,,,,
37,Vitamin D (Calciferol ),?g,-,,Histidin,mg,133,1,,,,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,188,1,,,,
39,Vitamin K (Phylloquinone),?g,-,,Tyrosin,mg,208,1,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,280,1,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,392,1,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,1924,1,,,,
43,Lycopen,?g,0,3,Glycin,mg,331,1,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,732,1,,,,
45,Purin,mg,-,,Serin,mg,345,1,,,,
sè:1013,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,64.3,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,143,,Daidzein,mg,-,,,,,
3,,KJ,599,,Genistein,mg,-,,,,,
4,Protein,g,3.2,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,0.4,3,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,31.7,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0,3,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,0.4,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,16,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,0.3,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,64,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,15,1,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,3,1,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,0.01,1,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,0.01,1,Lysin,mg,-,,,,,
29,Vitamin PP (Niacin),mg,0.2,1,Methionin,mg,-,,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,,,,,
32,Folat (Folate),?g,-,,Threonin,mg,-,,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,,,,,
37,Vitamin D (Calciferol ),?g,0,1,Histidin,mg,-,,,,,
38,Vitamin E (Alpha-tocopherol ),mg,0,1,Cystin,mg,-,,,,,
39,Vitamin K (Phylloquinone),?g,0,1,Tyrosin,mg,-,,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,-,,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,,,,,
43,Lycopen,?g,0,3,Glycin,mg,-,,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,,,,,
45,Purin,mg,0,4,Serin,mg,-,,,,,
sè:1014,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,38.7,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,292,,Daidzein,mg,-,,,,,
3,,KJ,1222,,Genistein,mg,-,,,,,
4,Protein,g,8,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,10.8,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,40.7,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,0.7,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,1.1,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,-,,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,-,,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),-,-,,,,,
20,Phospho (Phosphorous),mg,-,,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
23,K?m  (Zinc),mg,-,,Eicosapentaenoic  (C20:5 n3),g,-,,,,,
24,??ng (Copper),?g,-,,Docosahexaenoic (C22:6 n3),g,-,,,,,
25,Selen (Selenium),?g,-,,TS acid béo trans (Total trans fatty acid),g,-,,,,,
26,Vitamin C (Ascorbic acid),mg,0,1,Cholesterol,mg,0,1,,,,
27,Vitamin B1 (Thiamine),mg,-,,Phytosterol,mg,-,,,,,
28,Vitamin B2 (Riboflavin),mg,-,,Lysin,mg,-,,,,,
29,Vitamin PP (Niacin),mg,-,,Methionin,mg,-,,,,,
30,Vitamin B5 (Pantothenic acid),mg,-,,Tryptophan,mg,-,,,,,
31,Vitamin B6 (Pyridoxine),mg,-,,Phenylalanin,mg,-,,,,,
32,Folat (Folate),?g,-,,Threonin,mg,-,,,,,
33,Vitamin B9 (Folic acid),?g,-,,Valin,mg,-,,,,,
34,Vitamin H (Biotin ),?g,-,,Leucin,mg,-,,,,,
35,Vitamin B12 (Cyanocobalamine),?g,-,,Isoleucin,mg,-,,,,,
36,Vitamin A (Retinol),?g,0,1,Arginin,mg,-,,,,,
37,Vitamin D (Calciferol ),?g,0,3,Histidin,mg,-,,,,,
38,Vitamin E (Alpha-tocopherol ),mg,-,,Cystin,mg,-,,,,,
39,Vitamin K (Phylloquinone),?g,0,3,Tyrosin,mg,-,,,,,
40,Beta-caroten,?g,0,3,Alanin,mg,-,,,,,
41,Alpha-caroten,?g,0,3,Acid aspartic,mg,-,,,,,
42,Beta-cryptoxanthin,?g,0,3,Acid glutamic,mg,-,,,,,
43,Lycopen,?g,0,3,Glycin,mg,-,,,,,
44,Lutein + Zeaxanthin,?g,0,3,Prolin,mg,-,,,,,
45,Purin,mg,0,4,Serin,mg,-,,,,,
sè:1015,Th?nh phÇn dinh d?ìng,?V,H?m l??ng,TLTK,Th?nh phÇn dinh d?ìng.1,?V.1,H?m l??ng.1,TLTK.1,,,,
0,(Nutrients),(Unit),(Value),(Source),(Nutrients),(Unit),(Value),(Source),,,,
1,N??c (Water ),g,3,1,T?ng s? isoflavon (Total isoflavone),mg,-,,,,,
2,N?ng l??ng (Energy ),KCal,372,,Daidzein,mg,-,,,,,
3,,KJ,1556,,Genistein,mg,-,,,,,
4,Protein,g,8.6,1,Glycetin,mg,-,,,,,
5,Lipid (Fat),g,1.6,1,T?ng s? acid béo no,g,-,,,,,
6,Glucid (Carbohydrate),g,80.8,1,(Total saturated fatty acid),,,,,,,
7,Celluloza (Fiber),g,3.4,1,Palmitic (C16:0),g,-,,,,,
8,Tro (Ash),g,2.6,1,Margaric (C17:0),g,-,,,,,
9,???ng t?ng s? (Sugar),g,-,,Stearic (C18:0),g,-,,,,,
10,Galactoza (Galactose),g,-,,Arachidic (C20:0),g,-,,,,,
11,Maltoza (Maltose),g,-,,Behenic (22:0),g,-,,,,,
12,Lactoza (Lactose),g,-,,Lignoceric (C24:0),g,-,,,,,
13,Fructoza (Fructose),g,-,,TS acid béo không no 1 n?i ?ôi,g,-,,,,,
14,Glucoza (Glucose),g,-,,(Total monounsaturated fatty acid),,,,,,,
15,Sacaroza (Sucrose),g,-,,Myristoleic (C14:1),g,-,,,,,
16,Calci (Calcium),mg,3,1,Palmitoleic (C16:1),g,-,,,,,
17,S?t (Iron),mg,0.6,1,Oleic (C18:1),g,-,,,,,
18,Magiê (Magnesium),mg,-,,TS acid béo không no nhi?u n?i ?ôi,g,-,,,,,
19,Mangan (Manganese),mg,-,,(Total polyunsaturated fatty acid),,,,,,,
20,Phospho (Phosphorous),mg,47,1,Linoleic (C18:2 n6),g,-,,,,,
21,Kali (Potassium),mg,-,,Linolenic (C18:2 n3),g,-,,,,,
22,Natri (Sodium),mg,-,,Arachidonic (C20:4),g,-,,,,,
